,id,join_date,sex,company_type,wfh,designation,work_hours,fatigue_score,burn_rate
4709,fffe32003500330038003500,2008-06-18,Male,Service,No,3.0,6.0,0.74,0.62
4710,fffe33003200380036003600,2008-06-13,Male,Service,No,4.0,9.0,0.7,0.71
4711,fffe31003000310030003400,2008-03-01,Male,Service,Yes,4.0,8.0,0.74,0.56
4712,fffe33003200340037003500,2008-10-22,Female,Product,Yes,3.0,4.0,0.61,0.42
4713,fffe32003000300031003300,2008-08-12,Female,Service,Yes,1.0,3.0,0.5599999999999999,0.48
4714,fffe3200390033003100,2008-06-15,Female,Product,Yes,0.0,1.0,0.0,0.0
4715,fffe33003200390037003200,2008-05-15,Male,Service,Yes,3.0,6.0,0.5900000000000001,0.46
4716,fffe31003400370030003500,2008-09-30,Male,Service,No,3.0,7.0,0.8,0.83
4717,fffe32003600310031003900,2008-04-04,Female,Service,Yes,1.0,5.0,0.6799999999999999,0.55
4718,fffe31003100310037003600,2008-04-09,Male,Service,Yes,4.0,7.0,0.78,0.63
4719,fffe31003000380038003000,2008-06-21,Male,Product,No,1.0,3.0,0.55,0.41
4720,fffe32003300340037003600,2008-08-05,Male,Service,Yes,0.0,1.0,0.33999999999999997,0.24
4721,fffe3400350035003600,2008-03-06,Female,Service,Yes,2.0,4.0,0.63,0.42
4722,fffe33003000330031003900,2008-11-01,Female,Service,Yes,2.0,4.0,0.61,0.43
4723,fffe33003300300038003800,2008-03-12,Male,Service,No,4.0,7.0,0.75,0.74
4724,fffe3900320035003800,2008-09-16,Male,Service,Yes,2.0,4.0,0.55,0.45
4725,fffe31003700320031003200,2008-08-27,Female,Product,Yes,2.0,6.0,0.74,0.59
4726,fffe32003600320033003900,2008-07-26,Female,Product,No,3.0,6.0,0.5,0.31
4727,fffe31003000330034003000,2008-08-11,Female,Product,Yes,0.0,1.0,0.09,0.0
4729,fffe3800370032003000,2008-01-29,Female,Product,Yes,2.0,5.0,0.6,0.49
4730,fffe33003300300032003500,2008-02-16,Female,Product,Yes,1.0,3.0,0.47000000000000003,0.37
4731,fffe32003500320030003100,2008-02-04,Male,Service,No,3.0,8.0,0.9099999999999999,0.81
4732,fffe3900340036003200,2008-04-24,Female,Service,No,2.0,4.0,0.64,0.47
4733,fffe33003100380039003100,2008-10-18,Male,Product,Yes,2.0,4.0,0.6900000000000001,0.47
4736,fffe32003300300038003400,2008-11-19,Male,Service,Yes,0.0,1.0,0.39,0.23
4737,fffe31003700390031003300,2008-11-22,Male,Service,No,3.0,7.0,0.64,0.55
4739,fffe31003300310037003400,2008-06-25,Female,Product,No,3.0,6.0,0.8,0.63
4741,fffe32003700300030003600,2008-12-21,Male,Service,No,3.0,6.0,0.55,0.52
4742,fffe33003400380032003800,2008-06-24,Male,Product,Yes,5.0,10.0,0.77,0.79
4743,fffe32003700330033003700,2008-06-24,Male,Service,No,2.0,6.0,0.85,0.66
4744,fffe3600340038003100,2008-05-07,Female,Product,No,3.0,7.0,0.75,0.55
4745,fffe3100340035003700,2008-01-18,Female,Product,No,1.0,4.0,0.41,0.34
4747,fffe33003200370037003500,2008-01-18,Female,Service,No,3.0,6.0,0.6,0.49
4748,fffe3200380037003200,2008-07-16,Female,Service,Yes,4.0,6.0,0.62,0.54
4749,fffe33003300360033003500,2008-09-06,Male,Service,No,4.0,7.0,0.54,0.51
4750,fffe31003000370037003800,2008-10-15,Male,Service,Yes,2.0,5.0,0.77,0.69
4751,fffe3300310031003400,2008-10-04,Male,Product,Yes,4.0,8.0,0.6900000000000001,0.62
4753,fffe31003000390038003200,2008-08-23,Male,Product,Yes,1.0,4.0,0.52,0.3
4754,fffe31003600320030003400,2008-11-12,Female,Service,Yes,4.0,6.0,0.74,0.67
4755,fffe33003400330030003200,2008-08-12,Female,Product,No,5.0,10.0,0.99,0.86
4756,fffe32003500370036003500,2008-02-17,Female,Product,No,3.0,5.0,0.5599999999999999,0.41
4757,fffe3800330031003700,2008-03-12,Male,Product,No,3.0,5.0,0.67,0.62
4758,fffe33003300350036003400,2008-07-17,Female,Service,No,2.0,4.0,0.58,0.38
4759,fffe31003500320038003400,2008-12-29,Male,Service,Yes,0.0,1.0,0.0,0.0
4760,fffe32003700370032003600,2008-03-30,Female,Service,No,4.0,8.0,0.97,0.86
4761,fffe31003300310039003800,2008-10-13,Female,Service,Yes,1.0,3.0,0.27,0.11
4763,fffe33003400380039003700,2008-04-17,Male,Service,Yes,2.0,4.0,0.5900000000000001,0.44
4764,fffe3300350031003000,2008-04-11,Female,Service,No,2.0,3.0,0.33999999999999997,0.27
4765,fffe32003500390038003800,2008-11-19,Male,Product,Yes,1.0,2.0,0.22000000000000003,0.12
4766,fffe32003300340038003600,2008-02-19,Female,Service,Yes,1.0,4.0,0.58,0.47
4767,fffe32003700310036003000,2008-03-12,Male,Service,No,2.0,5.0,0.52,0.47
4768,fffe32003100390039003400,2008-05-02,Female,Service,No,1.0,3.0,0.5599999999999999,0.44
4769,fffe31003200310034003000,2008-06-08,Female,Service,Yes,2.0,2.0,0.33999999999999997,0.28
4770,fffe340033003300,2008-01-29,Male,Service,Yes,1.0,3.0,0.36,0.21
4771,fffe3400370035003900,2008-06-22,Male,Service,Yes,2.0,6.0,0.8099999999999999,0.71
4772,fffe32003800370032003600,2008-05-29,Female,Product,Yes,3.0,4.0,0.5599999999999999,0.44
4773,fffe32003400390033003400,2008-08-18,Male,Service,Yes,2.0,4.0,0.54,0.47
4774,fffe3600300032003100,2008-06-18,Male,Product,Yes,2.0,3.0,0.51,0.31
4775,fffe33003200340036003800,2008-03-05,Female,Product,Yes,2.0,3.0,0.6799999999999999,0.5
4778,fffe31003600380032003700,2008-05-31,Male,Service,No,2.0,3.0,0.62,0.4
4779,fffe31003400310033003100,2008-06-06,Female,Service,Yes,2.0,3.0,0.45,0.4
4780,fffe3600320032003200,2008-01-28,Female,Product,No,2.0,5.0,0.75,0.55
4781,fffe31003100380038003600,2008-10-07,Female,Service,No,2.0,3.0,0.31,0.23
4782,fffe3500390035003800,2008-08-30,Female,Product,Yes,0.0,1.0,0.1,0.03
4783,fffe3200370030003100,2008-01-02,Female,Service,No,4.0,10.0,1.0,0.92
4784,fffe32003800310038003500,2008-04-10,Female,Service,Yes,2.0,4.0,0.48,0.37
4785,fffe33003200310037003400,2008-04-28,Male,Service,Yes,0.0,1.0,0.13999999999999999,0.03
4786,fffe32003700340036003900,2008-03-04,Male,Service,Yes,2.0,4.0,0.53,0.29
4787,fffe33003000360037003300,2008-09-25,Male,Service,Yes,3.0,5.0,0.52,0.48
4788,fffe32003500330036003100,2008-09-15,Female,Service,Yes,3.0,6.0,0.5900000000000001,0.38
4789,fffe31003400330039003000,2008-08-17,Female,Service,Yes,2.0,2.0,0.47000000000000003,0.29
4790,fffe33003100300037003500,2008-02-25,Male,Service,Yes,3.0,5.0,0.63,0.51
4792,fffe31003000360037003100,2008-11-12,Male,Product,No,4.0,7.0,0.6599999999999999,0.55
4793,fffe33003100380032003400,2008-02-09,Male,Service,No,4.0,6.0,0.8699999999999999,0.69
4795,fffe31003100350033003400,2008-05-25,Male,Service,No,3.0,6.0,0.64,0.6
4796,fffe32003700310035003400,2008-12-15,Male,Service,Yes,1.0,2.0,0.0,0.0
4798,fffe31003900370032003000,2008-07-02,Female,Service,Yes,1.0,2.0,0.44000000000000006,0.26
4799,fffe33003000340030003100,2008-07-23,Male,Service,No,3.0,5.0,0.72,0.66
4800,fffe31003100320032003400,2008-03-06,Male,Service,No,5.0,9.0,0.9400000000000001,0.91
4801,fffe32003400310033003800,2008-12-27,Male,Service,Yes,1.0,3.0,0.51,0.38
4802,fffe32003200330036003700,2008-04-07,Female,Service,No,0.0,1.0,0.19,0.08
4803,fffe3600320037003400,2008-03-15,Male,Product,Yes,2.0,4.0,0.55,0.49
4805,fffe33003000300031003100,2008-01-11,Male,Product,No,3.0,5.0,0.6900000000000001,0.5
4806,fffe31003500310034003200,2008-03-21,Female,Service,Yes,1.0,3.0,0.6599999999999999,0.43
4807,fffe31003200330038003800,2008-07-24,Male,Product,No,1.0,3.0,0.5599999999999999,0.41
4808,fffe31003000350033003400,2008-09-08,Male,Product,No,3.0,6.0,0.82,0.69
4809,fffe31003300370038003400,2008-05-14,Female,Product,Yes,4.0,8.0,0.64,0.52
4813,fffe32003400320038003000,2008-08-25,Male,Product,No,1.0,1.0,0.38,0.29
4815,fffe33003300310034003900,2008-06-26,Female,Product,No,3.0,6.0,0.82,0.88
4816,fffe31003700300039003300,2008-01-06,Male,Product,No,3.0,6.0,0.43,0.37
4817,fffe31003900310030003100,2008-11-26,Male,Service,No,3.0,4.0,0.52,0.45
4818,fffe32003500320033003200,2008-09-21,Male,Service,Yes,3.0,6.0,0.8300000000000001,0.66
4819,fffe32003500350032003400,2008-08-01,Female,Product,No,3.0,6.0,0.61,0.56
4821,fffe31003100340032003200,2008-01-22,Female,Service,No,2.0,5.0,0.6599999999999999,0.53
4822,fffe390032003900,2008-07-11,Male,Product,Yes,3.0,5.0,0.62,0.42
4823,fffe31003400320032003700,2008-02-21,Female,Service,Yes,1.0,3.0,0.6,0.41
4824,fffe32003400390032003700,2008-11-24,Male,Service,No,4.0,7.0,0.85,0.68
4825,fffe33003100350032003400,2008-11-13,Female,Service,Yes,3.0,6.0,0.5900000000000001,0.39
4826,fffe31003300360030003500,2008-12-31,Female,Service,No,2.0,5.0,0.73,0.52
4827,fffe33003400360038003200,2008-12-29,Female,Service,Yes,2.0,7.0,0.75,0.74
4828,fffe3500300037003200,2008-04-27,Female,Product,No,0.0,1.0,0.26,0.16
4829,fffe32003000360038003700,2008-04-10,Female,Product,Yes,2.0,6.0,0.64,0.6
4831,fffe31003200390035003000,2008-08-04,Female,Product,No,4.0,9.0,0.75,0.77
4834,fffe32003300370039003500,2008-02-06,Female,Product,Yes,3.0,5.0,0.63,0.56
4835,fffe31003000370033003200,2008-06-09,Female,Service,Yes,1.0,3.0,0.45999999999999996,0.23
4836,fffe32003200360030003600,2008-07-15,Female,Product,Yes,1.0,2.0,0.25,0.17
4837,fffe3900360035003700,2008-12-31,Male,Service,No,4.0,7.0,0.58,0.56
4838,fffe340038003200,2008-06-26,Male,Product,No,1.0,1.0,0.42000000000000004,0.28
4839,fffe33003400350034003800,2008-01-07,Female,Product,Yes,1.0,3.0,0.58,0.39
4840,fffe32003900350035003000,2008-03-20,Female,Service,No,3.0,6.0,0.6799999999999999,0.65
4841,fffe3400380034003500,2008-08-16,Male,Service,Yes,2.0,5.0,0.79,0.6
4842,fffe35003700,2008-11-23,Male,Service,No,3.0,6.0,0.8400000000000001,0.65
4844,fffe32003100340039003100,2008-09-30,Female,Service,Yes,2.0,3.0,0.31,0.1
4845,fffe32003400330039003400,2008-06-04,Male,Service,No,5.0,9.0,0.9099999999999999,0.9
4846,fffe32003700380034003500,2008-11-21,Female,Product,No,3.0,4.0,0.51,0.44
4848,fffe3300350032003200,2008-12-02,Male,Service,Yes,3.0,7.0,0.74,0.72
4849,fffe3100310033003900,2008-03-27,Female,Product,No,5.0,9.0,0.8400000000000001,0.84
4850,fffe33003400370036003400,2008-11-16,Male,Service,Yes,2.0,4.0,0.61,0.42
4851,fffe31003200370037003300,2008-01-22,Male,Service,Yes,2.0,6.0,0.77,0.58
4852,fffe31003700390030003700,2008-03-30,Female,Service,Yes,3.0,4.0,0.5,0.42
4853,fffe32003500330033003200,2008-08-23,Female,Service,No,2.0,5.0,0.5900000000000001,0.51
4854,fffe32003600370034003400,2008-01-20,Male,Service,No,0.0,2.0,0.4,0.26
4855,fffe32003200320035003400,2008-08-26,Female,Service,Yes,3.0,6.0,0.8400000000000001,0.7
4857,fffe32003900330038003300,2008-07-29,Female,Service,Yes,4.0,6.0,0.58,0.52
4859,fffe3200340038003700,2008-09-04,Female,Product,No,3.0,7.0,0.63,0.54
4860,fffe3700330035003500,2008-10-26,Male,Service,Yes,1.0,2.0,0.58,0.36
4861,fffe33003000300033003400,2008-04-07,Male,Service,No,3.0,6.0,0.64,0.51
4862,fffe3300360031003900,2008-02-01,Male,Product,No,3.0,6.0,0.62,0.61
4863,fffe32003900330037003100,2008-06-18,Female,Service,Yes,3.0,5.0,0.45,0.33
4864,fffe31003800370038003000,2008-06-24,Male,Service,Yes,2.0,5.0,0.65,0.41
4865,fffe31003300370030003200,2008-05-02,Male,Product,No,3.0,6.0,0.6599999999999999,0.56
4866,fffe32003800380035003300,2008-11-22,Male,Product,Yes,2.0,4.0,0.6900000000000001,0.48
4868,fffe32003300370037003500,2008-04-05,Female,Service,Yes,2.0,4.0,0.54,0.33
4869,fffe32003400350035003700,2008-01-14,Male,Service,No,4.0,8.0,0.76,0.73
4870,fffe33003000380038003500,2008-06-18,Female,Service,No,4.0,8.0,0.75,0.53
4871,fffe31003400320032003900,2008-09-01,Female,Product,Yes,2.0,3.0,0.44000000000000006,0.39
4872,fffe33003000380034003200,2008-01-12,Male,Service,No,3.0,5.0,0.78,0.61
4873,fffe3400300033003300,2008-06-21,Male,Service,No,3.0,7.0,0.8,0.71
4874,fffe32003400380037003000,2008-11-02,Female,Service,No,4.0,8.0,0.86,0.74
4876,fffe32003400340035003700,2008-07-29,Female,Service,No,0.0,1.0,0.38,0.19
4877,fffe31003500330034003900,2008-07-27,Female,Service,Yes,3.0,5.0,0.5900000000000001,0.48
4878,fffe32003700360035003000,2008-07-26,Male,Service,No,3.0,7.0,0.8800000000000001,0.84
4879,fffe3900390035003600,2008-11-06,Female,Product,No,2.0,4.0,0.55,0.36
4880,fffe3100390034003200,2008-12-26,Female,Service,Yes,2.0,4.0,0.5900000000000001,0.39
4881,fffe33003000350035003900,2008-02-12,Male,Service,Yes,1.0,1.0,0.1,0.0
4882,fffe31003000340035003600,2008-02-08,Female,Service,Yes,1.0,3.0,0.54,0.35
4884,fffe3200320034003100,2008-01-15,Male,Service,Yes,2.0,3.0,0.45999999999999996,0.27
4885,fffe3900390036003000,2008-04-25,Female,Service,Yes,3.0,5.0,0.52,0.44
4887,fffe31003500360039003100,2008-01-18,Male,Product,No,4.0,9.0,0.89,0.76
4888,fffe32003700380037003300,2008-05-14,Male,Product,No,1.0,4.0,0.6599999999999999,0.54
4889,fffe32003300330037003000,2008-01-20,Male,Product,No,2.0,4.0,0.5599999999999999,0.52
4890,fffe3700340030003800,2008-12-19,Male,Product,Yes,1.0,4.0,0.47000000000000003,0.32
4891,fffe33003000340034003000,2008-11-10,Female,Service,Yes,0.0,1.0,0.18,0.12
4892,fffe32003000360035003900,2008-10-17,Female,Service,Yes,1.0,3.0,0.55,0.36
4894,fffe31003200320037003100,2008-06-22,Female,Product,Yes,1.0,4.0,0.44000000000000006,0.31
4895,fffe31003900310033003400,2008-01-07,Male,Service,No,2.0,3.0,0.42000000000000004,0.25
4897,fffe31003400310033003900,2008-08-04,Female,Service,No,3.0,6.0,0.64,0.62
4898,fffe31003700320031003400,2008-12-27,Female,Service,No,3.0,5.0,0.77,0.58
4899,fffe32003100350038003100,2008-01-15,Female,Product,Yes,0.0,1.0,0.32999999999999996,0.16
4901,fffe31003300330035003400,2008-03-20,Female,Service,No,2.0,6.0,0.6599999999999999,0.59
4902,fffe33003300370030003000,2008-02-02,Female,Product,Yes,1.0,4.0,0.63,0.41
4903,fffe31003200300030003100,2008-10-20,Male,Product,Yes,1.0,1.0,0.5,0.27
4904,fffe3300340035003800,2008-10-04,Female,Product,Yes,3.0,7.0,0.9,0.82
4906,fffe32003200350032003300,2008-11-01,Male,Product,Yes,1.0,3.0,0.6,0.45
4907,fffe32003500370038003700,2008-08-18,Female,Service,No,1.0,4.0,0.47000000000000003,0.36
4908,fffe31003000350037003200,2008-11-15,Male,Product,Yes,3.0,6.0,0.72,0.65
4909,fffe350034003100,2008-05-29,Male,Service,No,4.0,9.0,0.93,0.77
4910,fffe32003500320032003400,2008-04-09,Male,Service,No,2.0,5.0,0.5700000000000001,0.37
4911,fffe33003300300030003600,2008-05-18,Female,Product,Yes,2.0,4.0,0.33999999999999997,0.25
4912,fffe33003400340039003100,2008-09-07,Female,Service,Yes,2.0,3.0,0.5,0.27
4913,fffe32003300390036003900,2008-09-12,Male,Service,Yes,1.0,3.0,0.45999999999999996,0.37
4915,fffe33003400360034003700,2008-05-31,Male,Service,Yes,1.0,2.0,0.45,0.26
4916,fffe32003300380036003300,2008-09-01,Female,Product,Yes,1.0,2.0,0.31,0.19
4917,fffe33003100390033003700,2008-03-01,Male,Service,Yes,2.0,4.0,0.58,0.49
4919,fffe3400370036003200,2008-03-29,Male,Service,Yes,3.0,5.0,0.63,0.48
4920,fffe33003400370039003700,2008-03-12,Female,Product,Yes,1.0,3.0,0.65,0.48
4921,fffe32003900300034003800,2008-03-22,Female,Service,Yes,2.0,4.0,0.5599999999999999,0.49
4922,fffe3400350034003500,2008-12-06,Female,Product,Yes,2.0,3.0,0.39,0.27
4923,fffe32003500360035003900,2008-05-31,Male,Service,No,4.0,8.0,0.74,0.66
4925,fffe3100370033003900,2008-10-31,Female,Product,No,1.0,2.0,0.12,0.01
4926,fffe31003700340031003300,2008-05-15,Female,Service,Yes,2.0,4.0,0.67,0.45
4927,fffe3800330034003400,2008-02-16,Male,Service,Yes,2.0,3.0,0.5700000000000001,0.37
4928,fffe31003800310035003700,2008-04-24,Male,Service,Yes,4.0,8.0,0.62,0.54
4929,fffe32003700340036003600,2008-10-04,Female,Service,No,5.0,8.0,0.74,0.72
4930,fffe33003200320035003400,2008-02-06,Female,Service,Yes,2.0,4.0,0.6,0.44
4931,fffe32003300360035003700,2008-06-01,Female,Service,No,2.0,4.0,0.43,0.3
4932,fffe3600330033003200,2008-12-30,Male,Service,Yes,2.0,5.0,0.63,0.39
4933,fffe31003800390036003800,2008-11-24,Male,Service,Yes,2.0,4.0,0.61,0.45
4934,fffe33003200310036003200,2008-05-07,Female,Service,Yes,1.0,3.0,0.48,0.34
4937,fffe32003100380031003600,2008-07-16,Male,Service,No,2.0,6.0,0.5900000000000001,0.53
4938,fffe3300320031003900,2008-10-31,Male,Service,No,2.0,6.0,0.72,0.56
4939,fffe32003300310035003500,2008-06-05,Female,Product,No,3.0,5.0,0.45,0.39
4940,fffe31003000340035003000,2008-04-28,Male,Service,Yes,1.0,3.0,0.51,0.4
4941,fffe33003100340035003300,2008-11-01,Male,Product,Yes,3.0,6.0,0.74,0.54
4942,fffe3400370033003700,2008-01-30,Male,Service,No,2.0,4.0,0.38,0.27
4943,fffe32003300350036003900,2008-04-09,Female,Service,Yes,4.0,9.0,1.0,1.0
4944,fffe3200310032003700,2008-05-23,Female,Product,No,4.0,8.0,0.73,0.74
4945,fffe3800320037003900,2008-04-26,Female,Service,Yes,3.0,5.0,0.51,0.38
4947,fffe32003800330034003700,2008-10-17,Female,Service,Yes,2.0,3.0,0.35,0.2
4948,fffe3100310036003600,2008-01-11,Male,Product,Yes,3.0,5.0,0.48,0.39
4950,fffe31003700340038003600,2008-05-29,Male,Product,Yes,2.0,4.0,0.6599999999999999,0.44
4951,fffe3700370033003800,2008-01-07,Male,Product,No,3.0,7.0,0.9800000000000001,0.86
4952,fffe3600360036003200,2008-02-14,Female,Service,Yes,0.0,1.0,0.21000000000000002,0.17
4953,fffe31003900380037003800,2008-11-19,Female,Product,Yes,0.0,3.0,0.44000000000000006,0.32
4954,fffe3200390034003400,2008-10-26,Male,Service,No,3.0,5.0,0.53,0.47
4956,fffe31003200350032003400,2008-04-23,Female,Product,Yes,1.0,4.0,0.49000000000000005,0.38
4958,fffe3100300032003100,2008-02-25,Female,Service,No,3.0,6.0,0.63,0.51
4959,fffe31003700360037003500,2008-11-06,Female,Product,No,2.0,5.0,0.52,0.42
4960,fffe32003800350034003800,2008-04-25,Female,Product,No,3.0,6.0,0.6900000000000001,0.52
4961,fffe31003600300038003100,2008-10-13,Male,Service,No,4.0,7.0,0.7,0.63
4962,fffe31003300320039003300,2008-04-16,Female,Service,Yes,1.0,3.0,0.45999999999999996,0.35
4963,fffe32003900350033003800,2008-09-18,Female,Product,Yes,1.0,2.0,0.32,0.25
4964,fffe32003200320033003000,2008-09-19,Male,Service,No,4.0,7.0,0.6900000000000001,0.61
4965,fffe33003200300035003500,2008-08-27,Male,Service,No,2.0,4.0,0.51,0.38
4966,fffe32003900310038003000,2008-10-28,Male,Service,No,2.0,5.0,0.62,0.57
4967,fffe3900370037003400,2008-09-18,Male,Service,No,1.0,4.0,0.6,0.51
4968,fffe33003200350035003500,2008-09-21,Female,Product,No,3.0,6.0,0.62,0.59
4969,fffe31003600300039003300,2008-04-09,Female,Service,Yes,3.0,5.0,0.5599999999999999,0.43
4970,fffe32003100380035003500,2008-03-11,Female,Service,No,2.0,5.0,0.75,0.58
4972,fffe32003600340031003800,2008-11-18,Female,Service,Yes,2.0,4.0,0.52,0.42
4973,fffe31003600320032003700,2008-10-11,Female,Service,No,3.0,6.0,0.6,0.52
4974,fffe3800300031003500,2008-08-07,Male,Service,Yes,2.0,5.0,0.62,0.44
4977,fffe31003400300039003100,2008-05-18,Male,Product,Yes,3.0,5.0,0.82,0.65
4978,fffe3600360032003400,2008-03-18,Female,Service,No,2.0,5.0,0.53,0.37
4979,fffe31003600390030003100,2008-07-13,Male,Service,No,2.0,4.0,0.67,0.45
4980,fffe32003300350037003500,2008-08-23,Male,Service,Yes,2.0,4.0,0.71,0.5
4981,fffe3500330035003900,2008-01-22,Female,Service,Yes,2.0,4.0,0.54,0.33
4982,fffe33003300300031003200,2008-09-28,Female,Product,Yes,0.0,1.0,0.09,0.05
4983,fffe3300320030003100,2008-03-30,Female,Service,Yes,3.0,6.0,0.65,0.46
4984,fffe33003100310034003300,2008-09-13,Male,Service,Yes,2.0,6.0,0.67,0.63
4986,fffe3100300037003300,2008-03-26,Female,Service,No,2.0,4.0,0.63,0.62
4987,fffe3700340039003700,2008-06-25,Female,Service,Yes,3.0,5.0,0.43,0.38
4988,fffe32003700330032003700,2008-07-21,Female,Service,Yes,2.0,4.0,0.6599999999999999,0.47
4989,fffe32003500310030003200,2008-01-08,Male,Service,No,2.0,2.0,0.27999999999999997,0.1
4990,fffe3500330031003900,2008-12-28,Male,Product,No,4.0,6.0,0.65,0.58
4991,fffe31003600330036003400,2008-10-28,Female,Product,Yes,3.0,5.0,0.5900000000000001,0.48
4992,fffe360037003800,2008-02-22,Female,Service,Yes,1.0,3.0,0.44000000000000006,0.36
4993,fffe31003700310030003700,2008-01-27,Female,Service,No,2.0,4.0,0.61,0.43
4994,fffe31003700390034003200,2008-07-13,Male,Service,Yes,2.0,4.0,0.58,0.39
4995,fffe3900310034003400,2008-10-14,Female,Service,No,1.0,2.0,0.6,0.42
4996,fffe3600300034003900,2008-09-09,Female,Service,Yes,2.0,4.0,0.45999999999999996,0.4
4997,fffe32003700320039003400,2008-07-11,Female,Service,Yes,1.0,2.0,0.58,0.45
4999,fffe32003400380039003100,2008-11-07,Female,Service,No,4.0,7.0,0.8800000000000001,0.7
5000,fffe3100320032003400,2008-07-18,Female,Product,No,3.0,5.0,0.73,0.67
5001,fffe32003200340030003800,2008-09-15,Female,Product,No,2.0,4.0,0.6900000000000001,0.5
5002,fffe32003200320039003300,2008-06-18,Male,Service,Yes,2.0,4.0,0.52,0.39
5003,fffe31003200330030003300,2008-10-10,Male,Product,Yes,2.0,4.0,0.32,0.15
5004,fffe32003600350035003100,2008-01-30,Female,Service,No,2.0,3.0,0.61,0.42
5005,fffe3300300039003800,2008-12-13,Female,Service,No,2.0,6.0,0.71,0.69
5006,fffe32003400340030003100,2008-02-02,Female,Service,Yes,2.0,5.0,0.67,0.59
5008,fffe32003600380039003000,2008-05-09,Female,Service,No,0.0,1.0,0.0,0.0
5009,fffe31003900320030003100,2008-06-21,Male,Product,Yes,2.0,4.0,0.8400000000000001,0.66
5010,fffe31003300330035003300,2008-03-28,Male,Service,No,3.0,6.0,0.62,0.54
5011,fffe3400390032003100,2008-06-22,Male,Product,Yes,1.0,4.0,0.52,0.42
5012,fffe3600300036003700,2008-04-10,Male,Service,No,2.0,6.0,0.7,0.65
5013,fffe33003100370031003000,2008-08-27,Male,Product,No,2.0,3.0,0.6,0.39
5014,fffe32003300380039003900,2008-12-01,Female,Product,Yes,1.0,1.0,0.0,0.0
5015,fffe31003600380033003000,2008-12-26,Female,Service,Yes,3.0,7.0,0.65,0.61
5017,fffe31003700390039003600,2008-10-04,Female,Service,No,3.0,6.0,0.61,0.49
5018,fffe3300390035003500,2008-04-15,Male,Product,No,3.0,6.0,0.7,0.59
5019,fffe33003400300032003200,2008-12-20,Female,Service,Yes,1.0,1.0,0.2,0.08
5021,fffe32003800350037003300,2008-03-24,Male,Service,Yes,2.0,5.0,0.5599999999999999,0.53
5023,fffe31003700350030003400,2008-04-23,Female,Product,Yes,2.0,5.0,0.5700000000000001,0.48
5025,fffe32003800380031003500,2008-08-05,Female,Product,Yes,1.0,4.0,0.58,0.33
5026,fffe350034003900,2008-06-03,Female,Service,Yes,2.0,4.0,0.8400000000000001,0.64
5027,fffe33003300340038003600,2008-09-17,Female,Service,Yes,1.0,2.0,0.43,0.24
5028,fffe32003200360037003400,2008-07-28,Female,Service,Yes,1.0,3.0,0.32999999999999996,0.27
5029,fffe32003600310035003000,2008-09-11,Female,Service,Yes,3.0,6.0,0.78,0.64
5030,fffe32003900310037003300,2008-02-20,Male,Service,No,1.0,1.0,0.22000000000000003,0.11
5031,fffe3300320031003000,2008-12-01,Male,Service,Yes,3.0,5.0,0.54,0.4
5032,fffe32003400350033003600,2008-11-04,Male,Service,Yes,1.0,3.0,0.58,0.38
5033,fffe31003800300039003600,2008-02-04,Male,Service,No,2.0,4.0,0.37,0.32
5034,fffe33003000390036003300,2008-04-08,Female,Service,No,3.0,4.0,0.5,0.31
5035,fffe32003000380035003300,2008-11-13,Female,Service,Yes,1.0,2.0,0.39,0.19
5037,fffe32003400350032003700,2008-07-15,Female,Service,Yes,1.0,2.0,0.5599999999999999,0.38
5038,fffe32003500350030003500,2008-11-02,Female,Service,Yes,2.0,5.0,0.73,0.55
5039,fffe3700380039003000,2008-03-05,Male,Product,No,4.0,7.0,0.75,0.59
5040,fffe32003700330036003000,2008-10-14,Male,Service,Yes,3.0,5.0,0.5700000000000001,0.48
5043,fffe31003300360037003900,2008-09-16,Male,Product,Yes,2.0,4.0,0.58,0.41
5045,fffe32003300350031003100,2008-02-29,Female,Service,Yes,1.0,2.0,0.5,0.28
5046,fffe32003100310030003300,2008-05-23,Male,Service,No,3.0,5.0,0.67,0.5
5048,fffe31003900330032003900,2008-01-16,Female,Service,No,2.0,4.0,0.6,0.53
5049,fffe32003300300038003900,2008-03-20,Male,Product,No,5.0,10.0,0.8400000000000001,0.82
5051,fffe33003000370037003800,2008-10-11,Male,Service,Yes,4.0,8.0,0.76,0.58
5052,fffe31003300330037003700,2008-01-04,Male,Product,Yes,3.0,7.0,0.71,0.55
5053,fffe31003600300034003100,2008-07-01,Male,Service,Yes,2.0,3.0,0.5,0.34
5054,fffe32003700390033003100,2008-11-20,Female,Product,Yes,1.0,3.0,0.65,0.46
5055,fffe32003700330037003600,2008-05-12,Male,Service,Yes,2.0,3.0,0.49000000000000005,0.4
5056,fffe32003800350030003100,2008-05-20,Male,Service,Yes,3.0,6.0,0.8400000000000001,0.65
5057,fffe3500310030003300,2008-03-18,Female,Service,No,3.0,5.0,0.45,0.35
5058,fffe390036003300,2008-04-02,Male,Service,No,3.0,6.0,0.65,0.49
5059,fffe3900330030003800,2008-04-05,Female,Service,Yes,0.0,1.0,0.36,0.16
5060,fffe32003200370038003600,2008-11-06,Female,Service,Yes,2.0,4.0,0.5,0.45
5061,fffe360031003200,2008-05-05,Female,Service,Yes,2.0,3.0,0.27,0.12
5063,fffe31003200380030003700,2008-06-19,Male,Product,Yes,2.0,5.0,0.5700000000000001,0.39
